SPECIESID,SpecCode,Genus,Species,FBname,Kingdom,Phylum,Class,Order,Family,,
Fis-31066,4705,Platycephalus,richardsoni,Tiger flathead,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Platycephalidae,,
Fis-132793,4706,Plotosus,lineatus,Striped eel catfish,Animalia,Chordata,Actinopterygii,Siluriformes,Plotosidae,,
Fis-25269,4708,Pomadasys,jubelini,Sompat grunt,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,,
Fis-31067,4709,Sillago,ciliata,Sand sillago,Animalia,Chordata,Actinopterygii,Perciformes,Sillaginidae,,
Fis-4320,4710,Dentex,tumifrons,Yellowback seabream,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,,
Fis-25271,4711,Contusus,richei,Prickly toadfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,,
Fis-31073,4722,Callorhinchus,milii,Ghost shark,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,,
Fis-25281,4733,Acanthurus,nubilus,Bluelined surgeon,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,
Fis-25282,4734,Acanthurus,thompsoni,Thompson's surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,
Fis-31078,4736,Acanthurus,guttatus,Whitespotted surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,
Fis-25283,4737,Acanthurus,leucopareius,Whitebar surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,
Fis-31079,4738,Acanthurus,nigroris,Bluelined surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,
Fis-25284,4739,Acanthurus,nigrofuscus,Brown surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,
Fis-25285,4740,Acanthurus,sohal,Sohal surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,
Fis-31081,4742,Acanthurus,pyroferus,Chocolate surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,
Fis-31082,4744,Acanthurus,olivaceus,Orangespot surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,
Fis-31083,4745,Acanthurus,fowleri,Fowler's surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,
Fis-25286,4746,Acanthurus,maculiceps,White-freckled surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,
Fis-31084,4747,Acanthurus,nigricauda,Epaulette surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,
Fis-31085,4748,Acanthurus,auranticavus,Orange-socket surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,
Fis-31086,4749,Acanthurus,grammoptilus,Finelined surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,
Fis-31087,4750,Acanthurus,blochii,Ringtail surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,
Fis-25293,4761,Lagocephalus,sceleratus,Silver-cheeked toadfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,,
Fis-25296,4764,Saurida,elongata,Slender lizardfish,Animalia,Chordata,Actinopterygii,Aulopiformes,Synodontidae,,
Fis-1099,4796,Sarda,lineolata,Pacific bonito,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,,
Fis-25324,4806,Ambassis,gymnocephalus,Bald glassy,Animalia,Chordata,Actinopterygii,Perciformes,Ambassidae,,
Fis-25325,4807,Cynoglossus,puncticeps,Speckled tonguesole,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,,
Fis-160812,4809,Nuchequula,gerreoides,Decorated ponyfish,Animalia,Chordata,Actinopterygii,Perciformes,Leiognathidae,,
Fis-25328,4810,Leiognathus,brevirostris,Shortnose ponyfish,Animalia,Chordata,Actinopterygii,Perciformes,Leiognathidae,,
Fis-25329,4811,Secutor,ruconius,Deep pugnose ponyfish,Animalia,Chordata,Actinopterygii,Perciformes,Leiognathidae,,
Fis-4273,4813,Aphanius,dispar dispar,Arabian pupfish,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,,
Fis-31105,4814,Aristostomias,lunifer,,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-7579,4816,Chelon,macrolepis,Largescale mullet,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,,
Fis-25333,4817,Valamugil,buchanani,Bluetail mullet,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,,
Fis-128608,4819,Chelon,subviridis,Greenback mullet,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,,
Fis-165718,4820,Chelon,planiceps,Tade gray mullet,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,,
Fis-25337,4821,Upeneus,vittatus,Yellowstriped goatfish,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae,,
Fis-25338,4823,Pomadasys,argyreus,Bluecheek silver grunt,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,,
Fis-25339,4824,Otolithes,ruber,Tigertooth croaker,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,,
Fis-25340,4825,Epinephelus,sexfasciatus,Sixbar grouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-25341,4826,Plectropomus,leopardus,Leopard coralgrouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-31106,4827,Sphyraena,jello,Pickhandle barracuda,Animalia,Chordata,Actinopterygii,Perciformes,Sphyraenidae,,
Fis-31107,4828,Saurida,longimanus,Longfin lizardfish,Animalia,Chordata,Actinopterygii,Aulopiformes,Synodontidae,,
Fis-25342,4829,Terapon,theraps,Largescaled terapon,Animalia,Chordata,Actinopterygii,Perciformes,Terapontidae,,
Fis-25343,4832,Encheliophis,homei,Silver pearlfish,Animalia,Chordata,Actinopterygii,Ophidiiformes,Carapidae,,
Fis-25344,4833,Glossogobius,giuris,Tank goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,,
Fis-25345,4834,Aphanius,fasciatus,Mediterranean banded killifish,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,,
Fis-167077,4836,Ostorhinchus,nigrofasciatus,Blackstripe cardinalfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-167272,4837,Ostorhinchus,aureus,Ring-tailed cardinalfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-4408,4838,Ostorhinchus,fleurieu,Flower cardinalfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-31113,4842,Paracheilinus,mccoskeri,McCosker's flasher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31114,4843,Paracheilinus,carpenteri,Pink flasher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31115,4844,Paracheilinus,filamentosus,Filamentous wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-21782,4848,Pseudojuloides,elongatus,Long green wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31118,4849,Pseudojuloides,atavai,Polynesian wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-25350,4851,Pseudojuloides,cerasinus,Smalltail wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31123,4855,Halichoeres,chrysus,Canary wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31124,4856,Halichoeres,melasmapomus,Cheekspot wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-25351,4857,Halichoeres,argus,Argus wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-25352,4858,Halichoeres,melanurus,Tail-spot wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-25353,4859,Halichoeres,chloropterus,Pastel-green wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-21694,4860,Halichoeres,timorensis,Timor wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-21695,4861,Halichoeres,podostigma,Axil spot  wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-21693,4862,Halichoeres,prosopeion,Twotone wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31125,4863,Labropsis,alleni,Allen's tubelip,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31127,4865,Labropsis,xanthonota,Yellowback tubelip,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-21727,4866,Labropsis,manabei,Northern tubelip,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31128,4867,Labropsis,micronesica,Micronesian wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31129,4868,Labropsis,australis,Southern tubelip,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-21797,4869,Wetmorella,albofasciata,Whitebanded sharpnose wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-25354,4870,Wetmorella,nigropinnata,Sharpnose wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-25355,4871,Xenojulis,margaritaceus,Finspot wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,2015-2,High
Fis-31130,4873,Platycephalus,bassensis,Sand flathead,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Platycephalidae,,
Fis-22407,4874,Platycephalus,caeruleopunctatus,Blue-spotted flathead,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Platycephalidae,,
Fis-62566,4877,Salaria,fluviatilis,Freshwater blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,,
Fis-25365,4886,Plectropomus,maculatus,Spotted coralgrouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-25366,4887,Spicara,maena,Blotched picarel,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,,
Fis-31132,4888,Anampses,caeruleopunctatus,Bluespotted wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31133,4889,Anampses,meleagrides,Spotted wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31134,4890,Anampses,neoguinaicus,New Guinea wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31135,4891,Anampses,geographicus,Geographic wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,2015-2,Medium
Fis-31136,4892,Anampses,femininus,Blue-striped orange tamarin,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31137,4893,Anampses,twistii,Yellowbreasted wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-25367,4894,Acentrogobius,caninus,Tropical sand goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,,
Fis-25369,4897,Trypauchen,vagina,,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,,
Fis-25370,4899,Taenioides,cirratus,Bearded worm goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,,
Fis-25371,4901,Boleophthalmus,boddarti,Boddart's goggle-eyed goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,,
Fis-31140,4902,Gobius,auratus,Golden goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,,
Fis-53382,4904,Parexocoetus,mento,African sailfin flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-25373,4905,Gymnothorax,undulatus,Undulated moray,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,,
Fis-25374,4906,Sargocentron,punctatissimum,Speckled squirrelfish,Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,,
Fis-25375,4907,Sargocentron,caudimaculatum,Silverspot squirrelfish,Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,,
Fis-25376,4908,Sargocentron,tiere,Blue lined squirrelfish,Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,,
Fis-25377,4909,Sargocentron,violaceum,Violet squirrelfish,Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,,
Fis-31142,4910,Myripristis,berndti,Blotcheye soldierfish,Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,,
Fis-25378,4911,Neoniphon,sammara,Sammara squirrelfish,Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,,
Fis-25379,4912,Dendrochirus,brachypterus,Shortfin turkeyfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,,
Fis-31143,4913,Pterois,radiata,Radial firefish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,,
Fis-25380,4914,Pterois,antennata,Broadbarred firefish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,,
Fis-25381,4915,Scorpaenodes,parvipinnis,Lowfin scorpionfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,,
Fis-31145,4917,Anampses,lennardi,Blue and yellow wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31146,4918,Anampses,elegans,Elegant wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31149,4921,Scorpaenopsis,diabolus,False stonefish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,,
Fis-25382,4922,Anyperodon,leucogrammicus,Slender grouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-31150,4923,Epinephelus,merra,Honeycomb grouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-25383,4925,Grammistes,sexlineatus,Goldenstriped soapfish,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-25384,4926,Sphaeramia,orbicularis,Orbiculate cardinalfish,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,
Fis-165324,4928,Carlarius,heudelotii,Smoothmouth sea catfish,Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae,,
Fis-31152,4929,Arius,latiscutatus,Rough-head sea catfish,Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae,,
Fis-31153,4930,Aulopus,cadenati,Guinean flagfin,Animalia,Chordata,Actinopterygii,Aulopiformes,Aulopidae,,
Fis-31154,4931,Balistes,punctatus,Bluespotted triggerfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,,
Fis-25385,4932,Perulibatrachus,elminensis,Guinean toadfish,Animalia,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,,
Fis-25386,4933,Batrachoides,liberiensis,Hairy toadfish,Animalia,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,,
Fis-25387,4934,Bembrops,heterurus,Squaretail duckbill,Animalia,Chordata,Actinopterygii,Perciformes,Percophidae,,
Fis-25388,4935,Branchiostegus,semifasciatus,Zebra tilefish,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,,
Fis-25389,4936,Cephalopholis,taeniops,Bluespotted seabass,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-31155,4937,Cepola,pauciradiata,,Animalia,Chordata,Actinopterygii,Perciformes,Cepolidae,,
Fis-31156,4938,Ephippus,goreensis,East Atlantic African spadefish,Animalia,Chordata,Actinopterygii,Perciformes,Ephippidae,,
Fis-31157,4939,Chaetodipterus,lippei,West African spadefish,Animalia,Chordata,Actinopterygii,Perciformes,Ephippidae,,
Fis-25390,4940,Chelidonichthys,gabonensis,Gabon gurnard,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,,
Fis-25391,4942,Citharichthys,stampflii,Smooth flounder,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,,
Fis-25392,4943,Citharus,linguatula,Spotted flounder,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Citharidae,,
Fis-170631,4946,Carlarius,parkii,Guinean sea catfish,Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae,,
Fis-31160,4948,Cynoglossus,canariensis,Canary tonguesole,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,,
Fis-31161,4950,Cynoglossus,monodi,Guinean tonguesole,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,,
Fis-25396,4951,Cynoglossus,senegalensis,Senegalese tonguesole,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,,
Fis-31162,4952,Cynoponticus,ferox,Guinean pike conger,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenesocidae,,
Fis-25398,4954,Dasyatis,margarita,Daisy stingray,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,,
Fis-25399,4955,Bodianus,speciosus,Blackbar hogfish,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31163,4956,Dibranchus,atlanticus,Atlantic batfish,Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,,
Fis-25400,4957,Dicologlossa,hexophthalma,Ocellated wedge sole,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,,
Fis-31165,4959,Elops,lacerta,West African ladyfish,Animalia,Chordata,Actinopterygii,Elopiformes,Elopidae,,
Fis-25401,4960,Ephippion,guttifer,Prickly puffer,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,,
Fis-25402,4961,Epinephelus,goreensis,Dungat grouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-25403,4962,Gephyroberyx,darwinii,Darwin's slimehead,Animalia,Chordata,Actinopterygii,Beryciformes,Trachichthyidae,,
Fis-128462,4963,Solitas,gruveli,Guinea flathead,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Platycephalidae,,
Fis-31166,4964,Hoplostethus,mediterraneus,Mediterranean slimehead,Animalia,Chordata,Actinopterygii,Beryciformes,Trachichthyidae,,
Fis-31167,4965,Spottobrotula,amaculata,Lined cusk,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,,
Fis-21884,4966,Pseudorhombus,megalops,,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,,
Fis-21827,4968,Scarus,flavipectoralis,Yellowfin parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,,
Fis-21834,4969,Scarus,rivulatus,Rivulated parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,,
Fis-21840,4970,Scarus,globiceps,Globehead parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,,
Fis-21841,4971,Scarus,prasiognathos,Singapore parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,,
Fis-21826,4973,Scarus,dimidiatus,Yellowbarred parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,,
Fis-25405,4974,Scarus,spinus,Greensnout parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,,
Fis-25406,4975,Scarus,schlegeli,Yellowband parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,,
Fis-121729,4976,Chlorurus,bleekeri,Bleeker's parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,,
Fis-112193,4977,Chlorurus,troschelii,Troschel's parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,,
Fis-58516,4978,Chlorurus,japanensis,Palecheek parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,,
Fis-5681,4979,Chlorurus,gibbus,Heavybeak parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,,
Fis-31171,4981,Scarus,longipinnis,Highfin parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,,
Fis-31172,4982,Chromis,atripes,Dark-fin chromis,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-31173,4983,Chromis,elerae,Twinspot chromis,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,
Fis-25409,4984,Macropharyngodon,meleagris,Blackspotted wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-21770,4985,Macropharyngodon,negrosensis,Yellowspotted wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,,
Fis-31174,4986,Lepidotrigla,cadmani,Scalebreast gurnard,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,,
Fis-31175,4987,Lepidotrigla,carolae,Carol's gurnard,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,,
Fis-31176,4988,Lophius,vaillanti,Shortspine African angler,Animalia,Chordata,Actinopterygii,Lophiiformes,Lophiidae,,
Fis-25410,4989,Malacocephalus,laevis,Softhead grenadier,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,,
Fis-31177,4990,Malacocephalus,occidentalis,Western softhead grenadier,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,,
Fis-25411,4991,Microchirus,ocellatus,Foureyed sole,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,,
Fis-31178,4992,Microchirus,frechkopi,Frechkop's sole,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,,
Fis-31179,4993,Microchirus,wittei,Banded sole,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,,
Fis-31180,4994,Monolene,microstoma,Smallmouth moonflounder,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,,
Fis-19389,4995,Mugil,bananensis,Banana mullet,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,,
Fis-25412,4996,Mustelus,mustelus,Smooth-hound,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,,
Fis-25413,4997,Nezumia,aequalis,Common Atlantic grenadier,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,,
Fis-25414,4998,Paragaleus,pectoralis,Atlantic weasel shark,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Hemigaleidae,,
Fis-25415,4999,Parakuhlia,macrophthalmus,Dara,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,,
Fis-25416,5000,Pentheroscion,mbizi,,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,,
Fis-115175,5002,Polydactylus,quadrifilis,Giant African threadfin,Animalia,Chordata,Actinopterygii,Perciformes,Polynemidae,,
Fis-25418,5003,Pomadasys,incisus,Bastard grunt,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,,
Fis-25419,5004,Pomadasys,rogerii,Pigsnout grunt,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,,
Fis-31183,5006,Pontinus,accraensis,Ghanean rockfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,,
Fis-25420,5007,Pontinus,kuhlii,Offshore rockfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,,
Fis-25421,5008,Promethichthys,prometheus,Roudi escolar,Animalia,Chordata,Actinopterygii,Perciformes,Gempylidae,,
Fis-48305,5009,Pseudotolithus,senegallus,Law croaker,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,,
Fis-25422,5010,Pseudotolithus,moorii,Cameroon croaker,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,,
Fis-170784,5011,Aetomylaeus,bovinus,Bull ray,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,,
Fis-131831,5012,Dipturus,doutrei,Violet skate,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,,
Fis-31187,5014,Raja,miraletus,Brown ray,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,,
Fis-31188,5015,Raja,straeleni,Spotted skate,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,,
Fis-25424,5016,Rhinobatos,rhinobatos,Common guitarfish,Animalia,Chordata,Elasmobranchii,Rajiformes,Rhinobatidae,,
Fis-62889,5017,Rhynchobatus,luebberti,African wedgefish,Animalia,Chordata,Elasmobranchii,Rajiformes,Rhinobatidae,,
Fis-25425,5018,Scarus,hoefleri,Guinean parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,,
Fis-31190,5019,Scorpaena,angolensis,Angola rockfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,,
Fis-31192,5021,Scorpaena,elongata,Slender rockfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,,
Fis-31194,5023,Elops,senegalensis,Senegalese ladyfish,Animalia,Chordata,Actinopterygii,Elopiformes,Elopidae,,
Fis-31196,5025,Scorpaena,normani,Norman's rockfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,,
Fis-31197,5026,Scorpaena,laevis,Senegalese rockfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,,
Fis-31198,5027,Scorpaena,stephanica,Spotted-fin rockfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,,
Fis-25426,5028,Serranus,accraensis,Ghanean comber,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,,
Fis-31199,5029,Setarches,guentheri,Channeled rockfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Setarchidae,,
Fis-31200,5030,Sphyraena,afra,Guinean barracuda,Animalia,Chordata,Actinopterygii,Perciformes,Sphyraenidae,,
Fis-25427,5031,Dalophis,boulengeri,,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,,
Fis-25428,5032,Dalophis,cephalopeltis,,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,,
Fis-31201,5033,Trachinus,armatus,Guinean weever,Animalia,Chordata,Actinopterygii,Perciformes,Trachinidae,,
Fis-31202,5034,Trachinus,collignoni,Sailfin weever,Animalia,Chordata,Actinopterygii,Perciformes,Trachinidae,,
Fis-31205,5037,Trachinus,radiatus,Starry weever,Animalia,Chordata,Actinopterygii,Perciformes,Trachinidae,,
Fis-31206,5038,Trigla,lyra,Piper gurnard,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,,
Fis-31207,5039,Uranoscopus,albesca,Longspine stargazer,Animalia,Chordata,Actinopterygii,Perciformes,Uranoscopidae,,
Fis-31208,5040,Uranoscopus,cadenati,West African stargazer,Animalia,Chordata,Actinopterygii,Perciformes,Uranoscopidae,,
Fis-31209,5041,Uranoscopus,polli,Whitespotted stargazer,Animalia,Chordata,Actinopterygii,Perciformes,Uranoscopidae,,
Fis-4786,5042,Vanstraelenia,chirophthalma,African solenette,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,,
Fis-25430,5043,Zanobatus,schoenleinii,Striped panray,Animalia,Chordata,Elasmobranchii,Rajiformes,Rhinobatidae,,
Fis-31211,5045,Bathygadus,melanobranchus,Vaillant's grenadier,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,,
Fis-31212,5046,Chaetodon,hoefleri,Four-banded butterflyfish,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,
Fis-31213,5047,Chaunax,pictus,Pink frogmouth,Animalia,Chordata,Actinopterygii,Lophiiformes,Chaunacidae,,
Fis-25431,5048,Arripis,trutta,Australian salmon,Animalia,Chordata,Actinopterygii,Perciformes,Arripidae,,
Fis-31215,5051,Halosaurus,ovenii,,Animalia,Chordata,Actinopterygii,Notacanthiformes,Halosauridae,,
Fis-31217,5053,Harriotta,raleighana,Pacific longnose chimaera,Animalia,Chordata,Holocephali,Chimaeriformes,Rhinochimaeridae,,
Fis-25433,5054,Howella,sherborni,Sherborn's pelagic bass,Animalia,Chordata,Actinopterygii,Perciformes,Howellidae,,
